datetime_local_maroc,mois,jour_semaine,heure,jour_annee,irradiance_wm2,temperature_c,nebulosite_pct,humidite_pct,vent_kmh,production_kwh
2020-01-01 01:00:00,1,2,1,1,0.0,5.08,0,44,4.2,0.0
2020-01-01 02:00:00,1,2,2,1,0.0,4.19,0,45,4.3,0.0
2020-01-01 03:00:00,1,2,3,1,0.0,3.67,0,49,4.5,0.0
2020-01-01 04:00:00,1,2,4,1,0.0,3.38,0,50,4.8,0.0
2020-01-01 05:00:00,1,2,5,1,0.0,3.13,0,51,4.8,0.0
2020-01-01 06:00:00,1,2,6,1,0.0,2.88,0,53,3.8,0.0
2020-01-01 07:00:00,1,2,7,1,0.0,2.65,0,53,2.8,0.0
2020-01-01 08:00:00,1,2,8,1,0.0,2.36,0,53,2.3,0.0
2020-01-01 09:00:00,1,2,9,1,28.06,2.54,0,56,2.6,0.013869999999999999
2020-01-01 10:00:00,1,2,10,1,546.88,6.59,0,41,2.0,0.45786
2020-01-01 11:00:00,1,2,11,1,761.4,13.67,0,40,3.8,0.59697
2020-01-01 12:00:00,1,2,12,1,906.27,15.8,0,43,5.4,0.6991499999999999
2020-01-01 13:00:00,1,2,13,1,974.73,16.98,0,45,5.6,0.7463500000000001
2020-01-01 14:00:00,1,2,14,1,944.46,17.63,0,42,6.0,0.72784
2020-01-01 15:00:00,1,2,15,1,854.26,17.77,0,42,6.6,0.6685399999999999
2020-01-01 16:00:00,1,2,16,1,681.32,17.48,0,42,5.9,0.5428
2020-01-01 17:00:00,1,2,17,1,442.19,16.77,0,42,4.3,0.35191
2020-01-01 18:00:00,1,2,18,1,139.44,15.52,0,51,3.6,0.09095
2020-01-01 19:00:00,1,2,19,1,0.0,14.13,0,59,4.0,0.0
2020-01-01 20:00:00,1,2,20,1,0.0,13.62,0,57,4.1,0.0
2020-01-01 21:00:00,1,2,21,1,0.0,11.51,0,58,2.8,0.0
2020-01-01 22:00:00,1,2,22,1,0.0,9.11,0,60,2.5,0.0
2020-01-01 23:00:00,1,2,23,1,0.0,7.58,0,63,3.1,0.0
2020-01-02 00:00:00,1,3,0,2,0.0,6.04,0,63,3.3,0.0
2020-01-02 01:00:00,1,3,1,2,0.0,4.82,0,58,2.8,0.0
2020-01-02 02:00:00,1,3,2,2,0.0,3.91,0,57,3.1,0.0
2020-01-02 03:00:00,1,3,3,2,0.0,3.18,0,59,3.4,0.0
2020-01-02 04:00:00,1,3,4,2,0.0,2.78,0,61,3.4,0.0
