datetime_local_maroc,mois,jour_semaine,heure,jour_annee,irradiance_wm2,temperature_c,nebulosite_pct,humidite_pct,vent_kmh,production_kwh
2020-01-01 01:00:00,1,2,1,1,0.0,9.49,0,94,5.8,0.0
2020-01-01 02:00:00,1,2,2,1,0.0,8.95,0,93,5.8,0.0
2020-01-01 03:00:00,1,2,3,1,0.0,8.54,0,91,6.1,0.0
2020-01-01 04:00:00,1,2,4,1,0.0,8.36,0,90,7.6,0.0
2020-01-01 05:00:00,1,2,5,1,0.0,8.34,0,91,9.4,0.0
2020-01-01 06:00:00,1,2,6,1,0.0,8.48,0,91,10.2,0.0
2020-01-01 07:00:00,1,2,7,1,0.0,8.84,0,90,11.1,0.0
2020-01-01 08:00:00,1,2,8,1,0.0,9.14,0,91,11.0,0.0
2020-01-01 09:00:00,1,2,9,1,171.4,9.32,0,91,12.1,0.12667
2020-01-01 10:00:00,1,2,10,1,479.65,11.29,0,84,14.5,0.3972
2020-01-01 11:00:00,1,2,11,1,680.12,14.57,0,73,11.9,0.55459
2020-01-01 12:00:00,1,2,12,1,822.26,16.83,0,65,11.8,0.6564099999999999
2020-01-01 13:00:00,1,2,13,1,909.41,18.22,0,59,11.7,0.71613
2020-01-01 14:00:00,1,2,14,1,907.31,19.08,0,57,12.3,0.71245
2020-01-01 15:00:00,1,2,15,1,817.03,19.52,0,60,13.4,0.64701
2020-01-01 16:00:00,1,2,16,1,638.49,19.52,0,68,14.4,0.51282
2020-01-01 17:00:00,1,2,17,1,409.98,18.92,0,75,15.3,0.32694999999999996
2020-01-01 18:00:00,1,2,18,1,118.61,17.51,0,83,12.5,0.07622
2020-01-01 19:00:00,1,2,19,1,0.0,15.64,0,89,7.9,0.0
2020-01-01 20:00:00,1,2,20,1,0.0,14.81,0,94,9.5,0.0
2020-01-01 21:00:00,1,2,21,1,0.0,13.82,0,92,5.7,0.0
2020-01-01 22:00:00,1,2,22,1,0.0,13.0,0,92,5.2,0.0
2020-01-01 23:00:00,1,2,23,1,0.0,12.39,2,94,8.6,0.0
2020-01-02 00:00:00,1,3,0,2,0.0,10.29,1,94,8.1,0.0
2020-01-02 01:00:00,1,3,1,2,0.0,9.37,0,98,8.1,0.0
2020-01-02 02:00:00,1,3,2,2,0.0,8.81,100,98,8.9,0.0
2020-01-02 03:00:00,1,3,3,2,0.0,8.53,100,98,9.6,0.0
2020-01-02 04:00:00,1,3,4,2,0.0,8.11,100,98,9.7,0.0
2020-01-02 05:00:00,1,3,5,2,0.0,7.83,100,99,10.0,0.0
2020-01-02 06:00:00,1,3,6,2,0.0,7.59,100,99,10.0,0.0
2020-01-02 07:00:00,1,3,7,2,0.0,7.98,100,99,10.3,0.0
2020-01-02 08:00:00,1,3,8,2,0.0,8.9,100,99,10.2,0.0
2020-01-02 09:00:00,1,3,9,2,112.12,9.45,100,97,10.5,0.07820999999999999
2020-01-02 10:00:00,1,3,10,2,492.32,10.69,11,93,9.8,0.4079
