datetime_local_maroc,mois,jour_semaine,heure,jour_annee,irradiance_wm2,temperature_c,nebulosite_pct,humidite_pct,vent_kmh,production_kwh
2020-01-01 01:00:00,1,2,1,1,0.0,8.64,0,48,5.6,0.0
2020-01-01 02:00:00,1,2,2,1,0.0,7.94,0,48,2.7,0.0
2020-01-01 03:00:00,1,2,3,1,0.0,7.34,0,54,5.4,0.0
2020-01-01 04:00:00,1,2,4,1,0.0,6.92,0,49,5.4,0.0
2020-01-01 05:00:00,1,2,5,1,0.0,6.54,0,54,4.7,0.0
2020-01-01 06:00:00,1,2,6,1,0.0,6.23,0,56,4.3,0.0
2020-01-01 07:00:00,1,2,7,1,0.0,6.02,0,60,2.7,0.0
2020-01-01 08:00:00,1,2,8,1,0.0,5.77,0,65,3.6,0.0
2020-01-01 09:00:00,1,2,9,1,253.8,5.67,0,61,2.7,0.19957
2020-01-01 10:00:00,1,2,10,1,560.81,6.88,0,50,3.1,0.46197000000000005
2020-01-01 11:00:00,1,2,11,1,778.06,8.7,0,43,3.0,0.6283500000000001
2020-01-01 12:00:00,1,2,12,1,927.95,11.0,0,35,3.6,0.73391
2020-01-01 13:00:00,1,2,13,1,973.96,12.69,0,28,4.1,0.76662
2020-01-01 14:00:00,1,2,14,1,992.75,14.05,0,25,3.2,0.7824
2020-01-01 15:00:00,1,2,15,1,875.95,14.93,0,21,3.2,0.70137
2020-01-01 16:00:00,1,2,16,1,706.79,15.36,0,19,3.6,0.57588
2020-01-01 17:00:00,1,2,17,1,471.72,15.19,0,18,3.2,0.38427
2020-01-01 18:00:00,1,2,18,1,174.21,14.26,0,22,4.6,0.12165000000000001
2020-01-01 19:00:00,1,2,19,1,0.0,12.71,0,20,4.0,0.0
2020-01-01 20:00:00,1,2,20,1,0.0,11.98,0,27,8.8,0.0
2020-01-01 21:00:00,1,2,21,1,0.0,10.05,0,33,9.3,0.0
2020-01-01 22:00:00,1,2,22,1,0.0,9.61,0,37,8.7,0.0
2020-01-01 23:00:00,1,2,23,1,0.0,9.75,0,42,5.8,0.0
2020-01-02 00:00:00,1,3,0,2,0.0,8.85,0,48,7.8,0.0
2020-01-02 01:00:00,1,3,1,2,0.0,8.03,0,54,6.9,0.0
2020-01-02 02:00:00,1,3,2,2,0.0,7.35,0,53,4.8,0.0
2020-01-02 03:00:00,1,3,3,2,0.0,6.73,0,48,4.7,0.0
2020-01-02 04:00:00,1,3,4,2,0.0,6.31,0,49,5.4,0.0
2020-01-02 05:00:00,1,3,5,2,0.0,6.04,0,52,4.3,0.0
2020-01-02 06:00:00,1,3,6,2,0.0,5.94,0,60,4.3,0.0
2020-01-02 07:00:00,1,3,7,2,0.0,5.86,0,65,3.2,0.0
2020-01-02 08:00:00,1,3,8,2,0.0,5.44,0,63,2.5,0.0
